Date,Open,High,Low,Close,Volume
11/02/2022,"12.29","12.30","11.13","11.16","7,489,376"
11/01/2022,"13.07","13.17","12.21","12.33","4,704,361"
10/31/2022,"12.71","13.00","12.52","12.65","4,296,659"
10/28/2022,"12.14","12.89","12.09","12.86","5,781,312"
10/27/2022,"12.17","12.55","12.09","12.42","4,763,145"
10/26/2022,"12.02","12.74","11.92","12.05","4,225,289"
10/25/2022,"11.83","12.44","11.83","12.40","6,320,433"
10/24/2022,"11.68","11.87","11.23","11.69","4,942,240"
10/21/2022,"11.45","11.77","11.09","11.75","5,051,387"
10/20/2022,"11.68","12.32","11.55","11.59","7,174,036"
10/19/2022,"12.10","12.13","11.56","11.74","4,617,934"
10/18/2022,"12.51","12.85","12.12","12.26","5,042,513"
10/17/2022,"11.50","12.35","11.50","12.13","5,965,799"
10/14/2022,"11.95","12.01","11.10","11.12","7,352,117"
10/13/2022,"11.55","12.09","11.14","11.76","6,352,427"
10/12/2022,"11.88","12.21","11.61","11.98","5,467,721"
10/11/2022,"12.20","12.29","11.62","11.78","8,291,527"
10/10/2022,"12.93","13.05","12.08","12.21","6,040,933"
10/07/2022,"13.28","13.39","12.80","12.96","5,809,419"
10/06/2022,"13.60","14.03","13.52","13.67","4,634,172"
10/05/2022,"13.40","13.74","13.09","13.61","4,883,615"
10/04/2022,"13.24","13.96","13.22","13.75","10,631,000"
10/03/2022,"12.75","12.97","12.33","12.75","7,654,320"
09/30/2022,"12.50","13.02","12.41","12.61","9,803,083"
09/29/2022,"12.61","12.85","12.12","12.57","13,654,830"
09/28/2022,"13.23","13.38","12.46","12.94","14,751,510"
09/27/2022,"13.24","13.54","12.85","13.44","8,179,751"
09/26/2022,"12.94","13.43","12.73","12.75","5,031,793"
09/23/2022,"12.87","13.13","12.51","12.87","7,840,749"
09/22/2022,"13.56","13.78","13.03","13.04","7,098,269"
09/21/2022,"13.84","14.40","13.60","13.67","6,134,279"
09/20/2022,"13.79","14.11","13.64","13.79","6,157,508"
09/19/2022,"13.90","14.13","13.64","14.04","6,538,056"
09/16/2022,"14.58","14.64","13.70","14.03","16,518,189"
09/15/2022,"14.29","15.37","14.10","15.17","11,319,150"
09/14/2022,"14.32","14.40","13.78","14.33","9,118,265"
09/13/2022,"14.40","14.76","14.07","14.32","8,184,573"
09/12/2022,"14.70","15.58","14.66","15.50","8,419,381"
09/09/2022,"14.22","14.95","14.18","14.64","11,785,220"
09/08/2022,"13.56","14.00","13.01","13.95","17,167,221"
09/07/2022,"12.60","13.92","12.21","13.84","39,549,078"
09/06/2022,"16.11","16.21","15.55","15.59","9,723,894"
09/02/2022,"16.31","16.92","15.73","16.10","6,344,680"
09/01/2022,"16.09","16.18","15.40","16.16","8,048,147"
08/31/2022,"16.88","17.21","16.29","16.45","5,200,816"
08/30/2022,"16.67","16.99","16.28","16.45","4,530,898"
08/29/2022,"16.72","17.16","16.51","16.52","4,330,855"
08/26/2022,"18.00","18.09","16.87","16.95","4,047,073"
08/25/2022,"17.50","18.08","17.25","18.07","3,213,281"
08/24/2022,"17.01","17.69","16.81","17.24","3,379,601"
08/23/2022,"17.07","17.52","16.84","16.87","3,830,812"
08/22/2022,"17.67","17.79","16.94","17.06","6,444,333"
08/19/2022,"19.01","19.02","17.74","18.00","5,788,275"
08/18/2022,"19.55","19.57","18.98","19.46","2,693,141"
08/17/2022,"20.13","20.40","19.43","19.51","3,691,800"
08/16/2022,"20.68","20.97","19.81","20.80","2,740,560"
08/15/2022,"20.46","20.95","20.25","20.82","2,901,889"
08/12/2022,"20.20","20.72","19.99","20.70","3,667,458"
08/11/2022,"22.01","22.07","19.86","20.00","6,111,360"
08/10/2022,"22.00","22.19","21.46","21.82","6,285,782"
08/09/2022,"21.48","21.50","20.22","20.65","4,639,671"
08/08/2022,"21.44","22.13","21.05","21.94","4,802,643"
08/05/2022,"20.63","21.69","20.56","21.24","4,132,447"
08/04/2022,"20.81","21.31","20.47","21.29","4,533,305"
08/03/2022,"19.54","21.23","19.53","20.96","5,190,593"
08/02/2022,"18.40","19.47","18.36","19.24","3,014,910"
08/01/2022,"18.02","19.02","17.82","18.76","3,397,280"
07/29/2022,"18.46","18.57","17.82","18.33","3,583,127"
07/28/2022,"18.30","18.70","17.59","18.62","4,385,861"
07/27/2022,"17.94","18.59","17.50","18.51","4,148,126"
07/26/2022,"17.90","18.00","17.17","17.34","4,935,269"
07/25/2022,"19.01","19.17","18.02","18.08","4,871,108"
